Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Category
2021,236595,Seattle University,379000,1,Main Campus,7268,0,0,0,0,1,0,0,0,3,1,0,2,1,Public property criminal offenses
2021,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52434,0,0,0,0,2,0,0,0,0,0,0,1,0,Public property criminal offenses
2021,236939,Washington State University,380000,1,Pullman Campus,29843,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2021,237011,Western Washington University,380200,1,Bellingham Campus,15125,0,0,0,0,0,0,0,0,0,0,0,1,0,Public property criminal offenses
2021,237057,Whitman College,380300,1,Whitman College,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2022,235316,Gonzaga University,377800,1,Main Campus,7253,0,0,0,0,0,0,0,0,1,1,0,0,0,Public property criminal offenses
2022,236595,Seattle University,379000,1,Main Campus,7121,0,0,0,0,0,0,0,0,4,5,0,10,0,Public property criminal offenses
2022,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52319,0,0,0,0,1,0,0,0,0,6,0,0,1,Public property criminal offenses
2022,236939,Washington State University,380000,1,Pullman Campus,27539,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2022,237011,Western Washington University,380200,1,Bellingham Campus,14747,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2022,237057,Whitman College,380300,1,Whitman College,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2001,235316,Gonzaga University,377800,1,Main Campus,4874,0,0,0,0,0,0,0,0,0,0,1,1,0,Off-campus criminal offense
2001,236595,Seattle University,379000,1,Main Campus,5981,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2001,236948,University of Washington-Seattle Campus,379800,1,Main Campus,37412,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2001,236939,Washington State University,380000,1,Pullman Campus,21073,0,0,1,0,0,0,0,0,0,0,6,1,0,Off-campus criminal offense
2001,237011,Western Washington University,380200,1,Bellingham Campus,12409,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2001,237057,Whitman College,380300,1,Whitman College,1439,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2002,235316,Gonzaga University,377800,1,Main Campus,5254,0,0,1,0,0,0,0,0,0,1,1,2,0,Off-campus criminal offense
2002,236939,Washington State University,380000,1,Pullman Campus,21880,0,0,2,0,0,0,0,0,0,4,23,1,0,Off-campus criminal offense
2002,237011,Western Washington University,380200,1,Bellingham Campus,13865,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2002,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2003,235316,Gonzaga University,377800,1,Main Campus,5494,0,0,0,0,0,0,0,0,0,0,2,0,0,Off-campus criminal offense
2003,236595,Seattle University,379000,1,Main Campus,6659,0,0,0,0,0,0,0,0,0,0,1,0,0,Off-campus criminal offense
2003,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39135,0,0,1,0,0,0,0,0,4,10,57,3,5,Off-campus criminal offense
2003,236939,Washington State University,380000,1,Pullman Campus,22712,0,0,3,0,0,0,0,0,1,6,24,1,0,Off-campus criminal offense
2003,237011,Western Washington University,380200,1,Bellingham Campus,13845,0,0,0,0,0,0,0,0,0,0,1,0,0,Off-campus criminal offense
2003,237057,Whitman College,380300,1,Whitman College,1454,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2004,235316,Gonzaga University,377800,1,Main Campus,5858,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2004,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39199,0,0,2,0,0,0,0,0,0,2,40,2,1,Off-campus criminal offense
2004,236939,Washington State University,380000,1,Pullman Campus,23241,0,0,1,0,0,2,0,0,1,1,0,0,1,Off-campus criminal offense
2004,237011,Western Washington University,380200,1,Bellingham Campus,14190,0,0,0,0,0,0,0,0,0,0,0,10,0,Off-campus criminal offense
2004,237057,Whitman College,380300,1,Whitman College,1481,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2005,235316,Gonzaga University,377800,1,Main Campus,6377,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2005,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39251,0,0,2,0,0,0,0,0,2,2,98,3,2,Off-campus criminal offense
2005,236939,Washington State University,380000,1,Pullman Campus,23544,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2005,237011,Western Washington University,380200,1,Bellingham Campus,14247,0,0,0,0,0,0,0,0,0,0,0,16,0,Off-campus criminal offense
2005,237057,Whitman College,380300,1,Whitman College,1512,0,0,3,0,0,0,0,0,0,2,3,0,0,Off-campus criminal offense
2006,235316,Gonzaga University,377800,1,Main Campus,6607,0,0,0,0,0,0,0,0,0,0,2,0,0,Off-campus criminal offense
