Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations,Category
2015,235316,Gonzaga University,377800,1,Main Campus,7491,1,52,773,On-campus discipline
2015,236595,Seattle University,379000,1,Main Campus,7405,2,67,169,On-campus discipline
2015,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45408,0,128,595,On-campus discipline
2015,236939,Washington State University,380000,1,Pullman Campus,29686,0,335,272,On-campus discipline
2015,237011,Western Washington University,380200,1,Bellingham Campus,15332,1,184,274,On-campus discipline
2015,237057,Whitman College,380300,1,Whitman College,1470,0,39,38,On-campus discipline
2016,235316,Gonzaga University,377800,1,Main Campus,7567,0,80,805,On-campus discipline
2016,236595,Seattle University,379000,1,Main Campus,7487,0,133,240,On-campus discipline
2016,236595,Seattle University,379000,2,Eastside Campus,7487,0,0,0,On-campus discipline
2016,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45591,0,74,404,On-campus discipline
2016,236939,Washington State University,380000,1,Pullman Campus,30142,1,246,390,On-campus discipline
2016,237011,Western Washington University,380200,1,Bellingham Campus,15574,0,195,340,On-campus discipline
2016,237057,Whitman College,380300,1,Whitman College,1493,0,51,27,On-campus discipline
2017,235316,Gonzaga University,377800,1,Main Campus,7506,0,115,626,On-campus discipline
2017,236595,Seattle University,379000,1,Main Campus,7278,0,172,282,On-campus discipline
2017,236595,Seattle University,379000,2,Eastside Campus,7278,0,0,0,On-campus discipline
2017,236948,University of Washington-Seattle Campus,379800,1,Main Campus,46166,0,123,433,On-campus discipline
2017,236939,Washington State University,380000,1,Pullman Campus,30614,0,333,234,On-campus discipline
2017,237011,Western Washington University,380200,1,Bellingham Campus,15915,0,213,400,On-campus discipline
2017,237057,Whitman College,380300,1,Whitman College,1510,0,52,128,On-campus discipline
2018,235316,Gonzaga University,377800,1,Main Campus,7563,0,80,503,On-campus discipline
2018,236595,Seattle University,379000,1,Main Campus,7291,0,140,213,On-campus discipline
2018,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47400,0,314,647,On-campus discipline
2018,236939,Washington State University,380000,1,Pullman Campus,31478,0,322,252,On-campus discipline
2018,237011,Western Washington University,380200,1,Bellingham Campus,16121,0,163,275,On-campus discipline
2018,237057,Whitman College,380300,1,Whitman College,1475,0,36,185,On-campus discipline
2019,235316,Gonzaga University,377800,1,Main Campus,7537,1,86,743,On-campus discipline
2019,236595,Seattle University,379000,1,Main Campus,7199,0,95,169,On-campus discipline
2019,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47576,1,146,498,On-campus discipline
2019,236939,Washington State University,380000,1,Pullman Campus,31607,0,333,222,On-campus discipline
2019,237011,Western Washington University,380200,1,Bellingham Campus,16142,0,157,251,On-campus discipline
2019,237057,Whitman College,380300,1,Whitman College,1579,0,30,172,On-campus discipline
2020,235316,Gonzaga University,377800,1,Main Campus,7295,0,77,393,On-campus discipline
2020,236595,Seattle University,379000,1,Main Campus,7050,0,39,78,On-campus discipline
2020,236948,University of Washington-Seattle Campus,379800,1,Main Campus,48149,0,48,222,On-campus discipline
2020,236939,Washington State University,380000,1,Pullman Campus,31159,0,135,127,On-campus discipline
2020,237011,Western Washington University,380200,1,Bellingham Campus,15197,1,107,109,On-campus discipline
2020,237057,Whitman College,380300,1,Whitman College,1360,0,29,62,On-campus discipline
2021,235316,Gonzaga University,377800,1,Main Campus,7381,1,95,522,On-campus discipline
2021,236595,Seattle University,379000,1,Main Campus,7268,1,28,57,On-campus discipline
2021,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52434,0,41,128,On-campus discipline
2021,236939,Washington State University,380000,1,Pullman Campus,29843,0,101,307,On-campus discipline
2021,237011,Western Washington University,380200,1,Bellingham Campus,15125,0,78,151,On-campus discipline
2021,237057,Whitman College,380300,1,Whitman College,1559,0,7,79,On-campus discipline
2022,235316,Gonzaga University,377800,1,Main Campus,7253,0,36,428,On-campus discipline
2022,236595,Seattle University,379000,1,Main Campus,7121,3,51,110,On-campus discipline
2022,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52319,0,44,116,On-campus discipline
2022,236939,Washington State University,380000,1,Pullman Campus,27539,0,29,196,On-campus discipline
2022,237011,Western Washington University,380200,1,Bellingham Campus,14747,0,104,235,On-campus discipline
2022,237057,Whitman College,380300,1,Whitman College,1493,0,9,92,On-campus discipline
2001,235316,Gonzaga University,377800,1,Main Campus,4874,0,0,2,Public discipline
2001,236595,Seattle University,379000,1,Main Campus,5981,0,0,0,Public discipline
2001,236948,University of Washington-Seattle Campus,379800,1,Main Campus,37412,0,0,0,Public discipline
2001,236939,Washington State University,380000,1,Pullman Campus,21073,0,0,0,Public discipline
2001,237011,Western Washington University,380200,1,Bellingham Campus,12409,0,0,0,Public discipline
2001,237057,Whitman College,380300,1,Whitman College,1439,0,0,0,Public discipline
2002,235316,Gonzaga University,377800,1,Main Campus,5254,0,0,3,Public discipline
2002,236595,Seattle University,379000,1,Main Campus,6270,0,0,0,Public discipline
2002,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39882,0,0,0,Public discipline
2002,236939,Washington State University,380000,1,Pullman Campus,21880,0,0,0,Public discipline
2002,237011,Western Washington University,380200,1,Bellingham Campus,13865,0,0,0,Public discipline
2002,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,Public discipline
2003,235316,Gonzaga University,377800,1,Main Campus,5494,0,0,2,Public discipline
2003,236595,Seattle University,379000,1,Main Campus,6659,0,0,0,Public discipline
2003,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39135,0,0,0,Public discipline
2003,236939,Washington State University,380000,1,Pullman Campus,22712,0,0,0,Public discipline
2003,237011,Western Washington University,380200,1,Bellingham Campus,13845,0,0,9,Public discipline
2003,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,Public discipline
2004,235316,Gonzaga University,377800,1,Main Campus,5858,0,0,3,Public discipline
2004,236595,Seattle University,379000,1,Main Campus,6810,0,0,0,Public discipline
2004,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39199,0,0,0,Public discipline
2004,236939,Washington State University,380000,1,Pullman Campus,23241,0,0,0,Public discipline
2004,237011,Western Washington University,380200,1,Bellingham Campus,14190,0,0,0,Public discipline
2004,237057,Whitman College,380300,1,Whitman College,1481,0,0,0,Public discipline
2005,235316,Gonzaga University,377800,1,Main Campus,6377,0,0,8,Public discipline
2005,236595,Seattle University,379000,1,Main Campus,7109,0,0,0,Public discipline
